pdb_id,score
1XNL,1.0
2LTI,0.9950313623806428
5MXL,0.9898557484795949
5MXS,0.9898557484795949
5MXT,0.9898557484795949
6Q1X,0.9859330695082559
1D6X,0.9855142033055345
6MW6,0.9695588836314863
1NKF,0.9693985438214304
1T0C,0.9677629484525614
7BW5,0.9660345542635175
8DYN,0.9639653948760052
8HJC,0.9539634664880746
1DIP,0.9467520973266096
5V1E,0.942254263939844
1AML,0.9405339298434023
8HJD,0.9381641764141346
1YT6,0.9359843739372639
1FUL,0.9254604360225624
1FUV,0.9254604360225624
1PBZ,0.924274783470138
2DEF,0.9189510707552859
1QCM,0.9169871235925979
1IRR,0.9169828564847496
2IGR,0.9133669782574908
6S0N,0.908886644323113
7K1M,0.903918394622651
1Z65,0.9039133947791117
6CHC,0.9017144980721724
7ZWJ,0.9008201295080164
2LG4,0.899703742029452
2L87,0.8978781526060865
1ZTA,0.896483842790092
7FB8,0.8959578678701693
7FBA,0.8959578678701693
1IMW,0.8943625298622122
5YKK,0.89373423055813
2MN3,0.8924978468346206
2L1Q,0.8919946298232219
6RQS,0.8896851762311232
2LWQ,0.8889591644675257
2LWS,0.8889591644675257
2LWT,0.8889591644675257
2LWU,0.8889591644675257
2LWV,0.8889591644675257
2BBM,0.8870703011621274
2BBN,0.8870703011621274
1MWN,0.8857219812862752
5JPL,0.884877352544916
6WQR,0.8831914570259569
1ZY3,0.8827708667392563
6DZ9,0.8821341194236767
6DZA,0.8821341194236767
6DZB,0.8821341194236767
6DZC,0.8821341194236767
6DZE,0.8821341194236767
1WBR,0.8814336241029699
1G5J,0.8814195728185402
2M6A,0.8813277222445539
2RPW,0.8808418322771452
1AMB,0.8788763765409755
1AMC,0.8788763765409755
1HRL,0.8784875956036894
1DDM,0.8766977809228901
5ZCN,0.8764411941247011
2KP8,0.8760844811494262
1B0Q,0.8759516404788368
2M32,0.8745111252122024
1KV4,0.8742779859561292
2FLY,0.873839465196046
1JJZ,0.8732498284751952
1K48,0.8732498284751952
1B8W,0.872435629816067
5W54,0.8716390168135255
2RSW,0.8714388506635525
7TB9,0.8711190330854303
