pdb_id,score
6X18,1.0
6X19,0.9933218759994868
6X1A,0.9933218759994868
7RTB,0.9703682317506318
6JX3,0.9644728904329742
4I4W,0.9399203628307738
1JYI,0.8864315641355216
1IGF,0.8749075943137639
2IGF,0.8749075943137639
6WL8,0.8631503141223252
1DFF,0.8627553967327765
4GLY,0.861157653538704
6P9X,0.8592634267056213
7O07,0.8508382408744397
7U58,0.8502483140211468
1FRG,0.8466885256313295
2ITK,0.8447207796392215
2Q5A,0.8447207796392215
7VFI,0.8439308604038815
6WHC,0.8438840716455818
6WL9,0.8429542928727969
7M5M,0.842885503263347
1CGD,0.8389221829472544
2Z3L,0.8342159432947275
2Z3N,0.8342159432947275
6TDR,0.8307509570370251
7NQK,0.8290701933566551
6WKX,0.8262191617532136
6WKY,0.8262191617532136
6WL1,0.8262191617532136
6WL7,0.8262191617532136
5D0J,0.8261385060417039
7W3Z,0.8251189925113495
6WL0,0.8188828280274122
6TDS,0.8187192362858476
7M5L,0.8180310868226219
7M5N,0.8180310868226219
1A38,0.816602002744659
8ESA,0.8163520544952214
8ESB,0.8163520544952214
1KCR,0.8151403607852438
1LD9,0.8149771913248913
5MFM,0.8143101136941491
1DUY,0.8131041630086557
4IKV,0.8130337265024786
5EEL,0.8130337265024786
4Q2K,0.8118832635682542
1A37,0.8078598526356808
1OF2,0.8078103190495025
1OGT,0.8078103190495025
1LMH,0.8076715996713301
7LLY,0.8021564803570403
2HN7,0.8021386600898902
3CVH,0.8009168316308222
3CVI,0.8009168316308222
6UGC,0.7997562761756287
6FVL,0.798856606053266
6FVN,0.798856606053266
5MFE,0.7975749825745658
5MFF,0.7975749825745658
5MFG,0.7975749825745658
5MFH,0.7975749825745658
7LLL,0.7963689052047088
7UDJ,0.7943875195294504
7UDK,0.7943875195294504
7UDL,0.7943875195294504
7UE2,0.7943875195294504
1VPP,0.7937269872574956
7YK7,0.7927699713465306
1JYC,0.7924931660120041
6AZT,0.7921063564217276
6FMP,0.7919477053703444
6FMQ,0.7919477053703444
8BRP,0.7915390216132814
6FVM,0.7915202723274646
6FVO,0.7915202723274646
6PEN,0.7913968817572912
7C41,0.7908247751711484
4IKX,0.7906896029551578
6KZU,0.7906506263992816
5XWR,0.789789932832795
6UCX,0.7880065970460077
6UD9,0.7880065970460077
7YK6,0.7877574933589945
